"TERMO","CODIGO","NIVEL","NOTAS","TERMOS_INCLUIDOS","TERMO_LIMPO","URI","URIVersion","PAI_TERMO","PAI_CODIGO","PAI_TERMO_LIMPO","FLAG_OUTRO","FILHOS_LIMPOS"
"Saúde",15,1,"Infraestrutura médico hospitalar, serviços, ações preventivas, etc. ","","saude","http://vocab.e.gov.br/id/governo#saude","http://vocab.e.gov.br/id/governo/2014_02#saude","Raiz",0,"",0,"assistencia-hospitalar-e-ambulatorial, atendimento-basico, combate-a-epidemias, medicamentos-e-aparelhos, vigilancia-sanitaria, outros-em-saude"
"Assistência Hospitalar e Ambulatorial",105,2,"","","assistencia-hospitalar-e-ambulatorial","http://vocab.e.gov.br/id/governo#assistencia-hospitalar-e-ambulatorial","http://vocab.e.gov.br/id/governo/2014_02#assistencia-hospitalar-e-ambulatorial","Saúde",15,"saude",0,""
"Atendimento básico",106,2,"","","atendimento-basico","http://vocab.e.gov.br/id/governo#atendimento-basico","http://vocab.e.gov.br/id/governo/2014_02#atendimento-basico","Saúde",15,"saude",0,""
"Combate a epidemias",111,2,"","","combate-a-epidemias","http://vocab.e.gov.br/id/governo#combate-a-epidemias","http://vocab.e.gov.br/id/governo/2014_02#combate-a-epidemias","Saúde",15,"saude",0,""
"Medicamentos e aparelhos",135,2,"","","medicamentos-e-aparelhos","http://vocab.e.gov.br/id/governo#medicamentos-e-aparelhos","http://vocab.e.gov.br/id/governo/2014_02#medicamentos-e-aparelhos","Saúde",15,"saude",0,""
"Vigilância Sanitária",188,2,"","","vigilancia-sanitaria","http://vocab.e.gov.br/id/governo#vigilancia-sanitaria","http://vocab.e.gov.br/id/governo/2014_02#vigilancia-sanitaria","Saúde",15,"saude",0,""
"Outros em Saúde",158,2,"","","outros-em-saude","http://vocab.e.gov.br/id/governo#outros-em-saude","http://vocab.e.gov.br/id/governo/2014_02#outros-em-saude","Saúde",15,"saude",1,""
"Segurança e Ordem Pública",29,1,"Defesa da segurança interna e da ordem pública. ","","seguranca-e-ordem-publica","http://vocab.e.gov.br/id/governo#seguranca-e-ordem-publica","http://vocab.e.gov.br/id/governo/2014_02#seguranca-e-ordem-publica","Raiz",0,"",0,"defesa-civil, policiamento, outros-em-seguranca-e-ordem-publica"
"Defesa Civil",118,2,"","Bombeiros, enchentes, secas, desabamentos, resgastes","defesa-civil","http://vocab.e.gov.br/id/governo#defesa-civil","http://vocab.e.gov.br/id/governo/2014_02#defesa-civil","Segurança e Ordem Pública",29,"seguranca-e-ordem-publica",0,""
"Policiamento",166,2,"","Polícia civil, aduaneira, rodoviária, federal, municipal, etc. ","policiamento","http://vocab.e.gov.br/id/governo#policiamento","http://vocab.e.gov.br/id/governo/2014_02#policiamento","Segurança e Ordem Pública",29,"seguranca-e-ordem-publica",0,""
